simp_word,trad_word,freq,pinyin
字符串,字符串,395499,zi fu chuan
初始化,初始化,372767,chu shi hua
数组,數組,357924,shu zu
加载,加載,256124,jia zai
客户端,客戶端,234160,ke hu duan
应用程序,應用程序,232083,ying yong cheng xu
自定义,自定義,221736,zi ding yi
配置文件,配置文件,188784,pei zhi wen jian
封装,封裝,183832,feng zhuang
字段,字段,179325,zi duan
解决方案,解決方案,145173,jie jue fang an
编译器,編譯器,134456,bian yi qi
重启,重啓,133085,chong qi
控件,控件,129597,kong jian
子类,子類,129011,zi lei
文件名,文件名,125730,wen jian ming
数据结构,數據結構,118113,shu ju jie gou
数据类型,數據類型,116821,shu ju lei xing
构造函数,構造函數,113104,gou zao han shu
开发者,開發者,109188,kai fa zhe
解决方法,解決方法,101916,jie jue fang fa
用户名,用戶名,100988,yong hu ming
头文件,頭文件,97039,tou wen jian
命令行,命令行,93940,ming ling xing
实例化,實例化,91876,shi li hua
递归,遞歸,91824,di gui
父类,父類,88194,fu lei
多线程,多線程,83642,duo xian cheng
环境变量,環境變量,78482,huan jing bian liang
右键,右鍵,77178,you jian
服务器端,服務器端,76716,fu wu qi duan
生命周期,生命週期,74450,sheng ming zhou qi
类名,類名,74082,lei ming
优先级,優先級,73722,you xian ji
C语言,C語言,72652,C yu yan
官网,官網,69371,guan wang
上传,上傳,69154,shang chuan
成员变量,成員變量,68011,cheng yuan bian liang
迭代,迭代,67601,die dai
程序运行,程序運行,67230,cheng xu yun xing
服务端,服務端,66774,fu wu duan
根目录,根目錄,66524,gen mu lu
链表,鏈表,65938,lian biao
文件系统,文件系統,65436,wen jian xi tong
开发人员,開發人員,64181,kai fa ren yuan
嵌套,嵌套,63184,qian tao
32位,32位,63117,32 wei
全局变量,全局變量,62739,quan ju bian liang
IP地址,IP地址,61388,IP di zhi
内存空间,內存空間,59492,nei cun kong jian
版本号,版本號,59417,ban ben hao
下载地址,下載地址,59323,xia zai di zhi
后缀,後綴,58794,hou zhui
构造方法,構造方法,58504,gou zao fang fa
结点,結點,57686,jie dian
jar包,jar包,57278,jar bao
源文件,源文件,57200,yuan wen jian
局部变量,局部變量,56599,ju bu bian liang
函数调用,函數調用,54803,han shu diao yong
复杂度,複雜度,54261,fu za du
赋值,賦值,54155,fu zhi
自动生成,自動生成,53723,zi dong sheng cheng
时间复杂度,時間複雜度,53317,shi jian fu za du
实现类,實現類,53222,shi xian lei
堆栈,堆棧,51300,dui zhan
基类,基類,50436,ji lei
整型,整型,50329,zheng xing
函数返回,函數返回,50277,han shu fan hui
表单,表單,49900,biao dan
运算符,運算符,49767,yun suan fu
只读,只讀,49376,zhi du
错误信息,錯誤信息,49059,cuo wu xin xi
寄存器,寄存器,46776,ji cun qi
主线程,主線程,46091,zhu xian cheng
数据源,數據源,45666,shu ju yuan
正则表达式,正則表達式,44794,zheng ze biao da shi
操作符,操作符,44714,cao zuo fu
缩放,縮放,44685,suo fang
抽象类,抽象類,44620,chou xiang lei
回调函数,回調函數,44415,hui diao han shu
静态方法,靜態方法,44329,jing tai fang fa
返回结果,返回結果,44309,fan hui jie guo
读取数据,讀取數據,43784,du qu shu ju
显式,顯式,43466,xian shi
当前目录,當前目錄,43052,dang qian mu lu
64位,64位,42482,64 wei
变量名,變量名,42442,bian liang ming
大小写,大小寫,42242,da xiao xie
C#,C#,42113,C#
作用域,作用域,41900,zuo yong yu
布局文件,佈局文件,41794,bu ju wen jian
包名,包名,41789,bao ming
创建对象,創建對象,41776,chuang jian dui xiang
测试数据,測試數據,41464,ce shi shu ju
SQL语句,SQL語句,41329,SQL yu ju
Java代码,Java代碼,41293,Java dai ma
端口号,端口號,41229,duan kou hao
复用,複用,41074,fu yong
存储空间,存儲空間,40904,cun chu kong jian
重新启动,重新啓動,40879,chong xin qi dong
抛出异常,拋出異常,40479,pao chu yi chang
类库,類庫,40453,lei ku
代码实现,代碼實現,40429,dai ma shi xian
标识符,標識符,39960,biao zhi fu
方法调用,方法調用,39921,fang fa diao yong
直接访问,直接訪問,39429,zhi jie fang wen
编程语言,編程語言,39016,bian cheng yu yan
业务逻辑,業務邏輯,38934,ye wu luo ji
序列化,序列化,38839,xu lie hua
成员函数,成員函數,38459,cheng yuan han shu
数据存储,數據存儲,38457,shu ju cun chu
可执行,可執行,38118,ke zhi xing
快捷键,快捷鍵,38086,kuai jie jian
字节数,字節數,37962,zi jie shu
设计模式,設計模式,37948,she ji mo shi
重定向,重定向,37561,zhong ding xiang
调用函数,調用函數,37283,diao yong han shu
可执行文件,可執行文件,37260,ke zhi xing wen jian
代码块,代碼塊,37184,dai ma kuai
方法名,方法名,37057,fang fa ming
参考资料,參考資料,36987,can kao zi liao
线程安全,線程安全,36705,xian cheng an quan
主键,主鍵,36266,zhu jian
命名空间,命名空間,36192,ming ming kong jian
调用方法,調用方法,35897,diao yong fang fa
执行过程,執行過程,35620,zhi xing guo cheng
工具类,工具類,35205,gong ju lei
for循环,for循環,34795,for xun huan
数据传输,數據傳輸,34607,shu ju chuan shu
预处理,預處理,34496,yu chu li
获取数据,獲取數據,34435,huo qu shu ju
示例代码,示例代碼,34374,shi li dai ma
文件路径,文件路徑,34003,wen jian lu jing
参数传递,參數傳遞,33692,can shu chuan di
重置,重置,33682,zhong zhi
新版本,新版本,33612,xin ban ben
偏移量,偏移量,33571,pian yi liang
#include,#include,33485,#include
重命名,重命名,33239,zhong ming ming
i++,i++,33183,i++
跨平台,跨平臺,33013,kua ping tai
文本文件,文本文件,32749,wen ben wen jian
%d,%d,32557,%d
工作原理,工作原理,32536,gong zuo yuan li
开发环境,開發環境,32507,kai fa huan jing
依赖关系,依賴關係,32314,yi lai guan xi
子目录,子目錄,32311,zi mu lu
系统调用,系統調用,32015,xi tong diao yong
数据集,數據集,31988,shu ju ji
类对象,類對象,31970,lei dui xiang
发送消息,發送消息,31909,fa song xiao xi
句柄,句柄,31907,ju bing
下划线,下劃線,31808,xia hua xian
浮点数,浮點數,31770,fu dian shu
面向对象,面向對象,31653,mian xiang dui xiang
日志文件,日誌文件,31605,ri zhi wen jian
持久化,持久化,31591,chi jiu hua
二维,二維,31505,er wei
配置信息,配置信息,31131,pei zhi xin xi
参数类型,參數類型,31089,can shu lei xing
