simp_word,trad_word,freq,pinyin
信鸽,信鴿,220963,xin ge
黄蜂,黃蜂,118861,huang feng
水母,水母,78147,shui mu
野猫,野貓,62065,ye mao
宠物狗,寵物狗,56875,chong wu gou
母狗,母狗,56087,mu gou
毛毛虫,毛毛蟲,48631,mao mao chong
猎豹,獵豹,48451,lie bao
犀牛,犀牛,46120,xi niu
萨摩,薩摩,44748,sa mo
狼狗,狼狗,40979,lang gou
喜鹊,喜鵲,40321,xi que
梅花鹿,梅花鹿,37159,mei hua lu
牡蛎,牡蠣,34448,mu li
毛驴,毛驢,32969,mao lv
母牛,母牛,31741,mu niu
野牛,野牛,27896,ye niu
多宝鱼,多寶魚,23907,duo bao yu
小蜜蜂,小蜜蜂,22680,xiao mi feng
猿人,猿人,21112,yuan ren
猎狗,獵狗,20562,lie gou
小尾寒羊,小尾寒羊,18980,xiao wei han yang
金枪鱼,金槍魚,18892,jin qiang yu
大黄蜂,大黃蜂,18504,dai huang feng
墨鱼,墨魚,17270,mo yu
扇贝,扇貝,16676,shan bei
毛滴虫,毛滴蟲,16392,mao di chong
鸰,鴒,14603,ling
小雀,小雀,13089,xiao que
苏眉,蘇眉,12152,su mei
狼犬,狼犬,11704,lang quan
黄粉虫,黃粉蟲,11209,huang fen chong
野菊花,野菊花,11043,ye ju hua
夜鹰,夜鷹,10533,ye ying
导盲犬,導盲犬,10113,dao mang quan
猫科动物,貓科動物,9462,mao ke dong wu
利木赞牛,利木贊牛,9371,li mu zan niu
目鱼,目魚,9329,mu yu
文金,文金,9087,wen jin
越前龙,越前龍,8739,yue qian long
野驴,野驢,8582,ye lv
瓢虫,瓢蟲,8236,piao chong
九间,九間,7969,jiu jian
软体动物,軟體動物,7579,ruan ti dong wu
鹡鸰,鶺鴒,7500,ji ling
蝇蛆,蠅蛆,6580,ying qu
家鸡,家雞,6433,jia ji
河蚌,河蚌,6090,he bang
全蝎,全蠍,6068,quan xie
刺参,刺蔘,5577,ci can
灵长类动物,靈長類動物,5575,ling zhang lei dong wu
鹮,䴉,5069,huan
囊虫,囊蟲,4996,nang chong
杜泊绵羊,杜泊綿羊,4587,du po mian yang
小鲤,小鯉,4440,xiao li
毛蟹,毛蟹,4343,mao xie
鹩哥,鷯哥,4205,liao ge
喷毒眼镜蛇,噴毒眼鏡蛇,4150,pen du yan jing she
文蛤,文蛤,3950,wen ge
斗牛犬,鬥牛犬,3940,dou niu quan
野牦牛,野犛牛,3938,ye mao niu
鸮,鴞,3886,xiao
寄居蟹,寄居蟹,3675,ji ju xie
鹦哥,鸚哥,3500,ying ge
画眉鸟,畫眉鳥,3483,hua mei niao
苏格兰牧羊犬,蘇格蘭牧羊犬,3261,su ge lan mu yang quan
台鸽,臺鴿,3222,tai ge
狮子狗,獅子狗,3184,shi zi gou
抹香鲸,抹香鯨,3138,mo xiang jing
桃花水母,桃花水母,3114,tao hua shui mu
小鸥,小鷗,2963,xiao ou
小野猪,小野豬,2901,xiao ye zhu
五步蛇,五步蛇,2888,wu bu she
花寨,花寨,2819,hua zhai
疟原虫,瘧原蟲,2736,nve yuan chong
濒危野生动物,瀕危野生動物,2726,bin wei ye sheng dong wu
野生大熊猫,野生大熊貓,2660,ye sheng da xiong mao
青波,青波,2656,qing bo
克隆牛,克隆牛,2647,ke long niu
珠鸡,珠雞,2641,zhu ji
猫鱼,貓魚,2595,mao yu
木回,木回,2595,mu hui
鱼胆,魚膽,2549,yu dan
种公猪,種公豬,2508,zhong gong zhu
灰鹤,灰鶴,2354,hui he
雄蜂,雄蜂,2307,xiong feng
杜宾犬,杜賓犬,2297,du bin quan
纯种波尔山羊,純種波爾山羊,2223,chun zhong bo er shan yang
中白鹭,中白鷺,2210,zhong bai lu
卷尾,卷尾,2152,juan wei
阴道毛滴虫,陰道毛滴蟲,2134,yin dao mao di chong
紫贝,紫貝,2005,zi bei
鮰鱼,鮰魚,1976,hui yu
萨摩耶犬,薩摩耶犬,1970,sa mo ye quan
杜泊羊,杜泊羊,1859,du po yang
滩羊,灘羊,1794,tan yang
钱鼠,錢鼠,1734,qian shu
浮游动物,浮游動物,1699,fu you dong wu
轮虫,輪蟲,1679,lun chong
元谋人,元謀人,1673,yuan mou ren
生牡蛎,生牡蠣,1631,sheng mu li
折耳猫,折耳貓,1597,zhe er mao
南非波尔山羊,南非波爾山羊,1430,nan fei bo er shan yang
林雕,林雕,1413,lin diao
角鲸,角鯨,1386,jiao jing
象拔蚌,象拔蚌,1384,xiang ba bang
