simp_word,trad_word,freq,pinyin
发展,發展,1934814,fa zhan
部门,部門,1709250,bu men
政府,政府,1617499,zheng fu
经济,經濟,1396619,jing ji
服务,服務,1386428,fu wu
公司,公司,1321922,gong si
实现,實現,1062326,shi xian
市场,市場,1053266,shi chang
评论,評論,928410,ping lun
支持,支持,894755,zhi chi
机构,機構,813966,ji gou
能力,能力,804674,neng li
资源,資源,801625,zi yuan
计划,計劃,800718,ji hua
系统,系統,777566,xi tong
分享,分享,723186,fen xiang
产品,產品,719918,chan pin
网络,網絡,663485,wang luo
提升,提升,641506,ti sheng
报告,報告,611089,bao gao
产业,產業,581292,chan ye
执行,執行,549104,zhi xing
行业,行業,535867,hang ye
需求,需求,519652,xu qiu
调整,調整,513431,tiao zheng
方案,方案,500356,fang an
委员会,委員會,499583,wei yuan hui
集团,集團,494981,ji tuan
利益,利益,494930,li yi
主席,主席,478947,zhu xi
经营,經營,477651,jing ying
统计,統計,474538,tong ji
时代,時代,459135,shi dai
力度,力度,458479,li du
收入,收入,454330,shou ru
生态,生態,454142,sheng tai
购买,購買,444238,gou mai
机会,機會,441735,ji hui
近年来,近年來,426768,jin nian lai
推出,推出,421029,tui chu
规范,規範,417118,gui fan
价值,價值,414827,jia zhi
国务院,國務院,401496,guo wu yuan
有限公司,有限公司,391133,you xian gong si
金融,金融,387290,jin rong
出台,出臺,385053,chu tai
数量,數量,381076,shu liang
银行,銀行,379949,yin hang
民生,民生,370864,min sheng
费用,費用,356236,fei yong
近期,近期,352723,jin qi
风险,風險,349681,feng xian
设立,設立,342330,she li
通道,通道,330021,tong dao
协议,協議,327937,xie yi
创造,創造,327349,chuang zao
强化,強化,324692,qiang hua
操作,操作,323394,cao zuo
升级,升級,322319,sheng ji
消费,消費,320540,xiao fei
救援,救援,315250,jiu yuan
商业,商業,310880,shang ye
财政,財政,310711,cai zheng
美元,美元,309822,mei yuan
损失,損失,306594,sun shi
律师,律師,306161,lv shi
优惠,優惠,299489,you hui
推荐,推薦,294602,tui jian
突破,突破,293449,tu po
年度,年度,284721,nian du
治理,治理,284407,zhi li
注册,註冊,279362,zhu ce
标签,標籤,274313,biao qian
批准,批准,272761,pi zhun
开通,開通,270250,kai tong
上升,上升,268597,shang sheng
渠道,渠道,265759,qu dao
查询,查詢,264946,cha xun
交易,交易,258370,jiao yi
支付,支付,257507,zhi fu
达成,達成,253153,da cheng
承诺,承諾,250046,cheng nuo
淘宝,淘寶,243835,tao bao
环保,環保,243716,huan bao
登记,登記,242799,deng ji
博客,博客,239679,bo ke
趋势,趨勢,235572,qu shi
配置,配置,232905,pei zhi
论坛,論壇,230780,lun tan
违规,違規,219598,wei gui
金额,金額,217979,jin e
调研,調研,214890,diao yan
机场,機場,213710,ji chang
低于,低於,213321,di yu
商品,商品,211512,shang pin
贸易,貿易,209462,mao yi
工资,工資,206254,gong zi
能源,能源,204053,neng yuan
指标,指標,202623,zhi biao
评估,評估,196520,ping gu
保险,保險,191092,bao xian
出口,出口,189527,chu kou
退出,退出,188537,tui chu
财产,財產,188180,cai chan
专题,專題,187620,zhuan ti
总经理,總經理,186634,zong jing li
环球,環球,186290,huan qiu
合同,合同,185744,he tong
研发,研發,182626,yan fa
财经,財經,181639,cai jing
上涨,上漲,180105,shang zhang
超标,超標,173842,chao biao
董事长,董事長,173750,dong shi zhang
考核,考覈,168674,kao he
补贴,補貼,167303,bu tie
计算,計算,167280,ji suan
现金,現金,166097,xian jin
房地产,房地產,165034,fang di chan
上市,上市,164509,shang shi
资本,資本,164069,zi ben
贷款,貸款,157760,dai kuan
资产,資產,152477,zi chan
行情,行情,151568,hang qing
分配,分配,150441,fen pei
理财,理財,149719,li cai
投诉,投訴,149228,tou su
预期,預期,148653,yu qi
信号,信號,148613,xin hao
委托,委託,145542,wei tuo
红包,紅包,144047,hong bao
鉴定,鑑定,141081,jian ding
当事人,當事人,138850,dang shi ren
经理,經理,138005,jing li
案例,案例,137595,an li
预算,預算,136927,yu suan
起诉,起訴,136753,qi su
客服,客服,136711,ke fu
特权,特權,135674,te quan
预测,預測,134893,yu ce
差距,差距,133647,cha ju
态势,態勢,133384,tai shi
高层,高層,127007,gao ceng
进口,進口,126374,jin kou
浮动,浮動,126231,fu dong
前景,前景,125542,qian jing
微软,微軟,125352,wei ruan
总额,總額,124821,zong e
披露,披露,124277,pi lu
座谈会,座談會,123984,zuo tan hui
利润,利潤,123856,li run
竞价,競價,122529,jing jia
支出,支出,122388,zhi chu
竞争力,競爭力,121982,jing zheng li
融资,融資,121957,rong zi
繁荣,繁榮,121844,fan rong
审核,審覈,119170,shen he
股份,股份,118020,gu fen
收取,收取,117667,shou qu
初始,初始,117023,chu shi
指数,指數,117017,zhi shu
效应,效應,116080,xiao ying
福利,福利,116074,fu li
