simp_word,trad_word,freq,pinyin
轿车,轎車,1424796,jiao che
二手车,二手車,1112665,er shou che
新车,新車,824358,xin che
摩托车,摩托車,635529,mo tuo che
用车,用車,574181,yong che
熊猫,熊貓,547034,xiong mao
车展,車展,520508,che zhan
模具,模具,501372,mu ju
仪表,儀表,434898,yi biao
一汽,一汽,396127,yi qi
遥控,遙控,363210,yao kong
零部件,零部件,360012,ling bu jian
全保,全保,346211,quan bao
奥迪,奧迪,326960,ao di
制动,制動,322143,zhi dong
星光,星光,283843,xing guang
马自达,馬自達,268085,ma zi da
牵引,牽引,267810,qian yin
扭矩,扭矩,266823,niu ju
霸道,霸道,256877,ba dao
加油站,加油站,231838,jia you zhan
雅阁,雅閣,186698,ya ge
多普达,多普達,180147,duo pu da
指挥官,指揮官,161861,zhi hui guan
试驾,試駕,153699,shi jia
驾校,駕校,151105,jia xiao
比亚迪,比亞迪,147538,bi ya di
铃木,鈴木,144083,ling mu
雷诺,雷諾,137332,lei nuo
无畏,無畏,134195,wu wei
幻影,幻影,130315,huan ying
磨合,磨合,129255,mo he
越野车,越野車,126663,yue ye che
风华,風華,125223,feng hua
跃进,躍進,107550,yue jin
林肯,林肯,100281,lin ken
北京现代,北京現代,99890,bei jing xian dai
新车型,新車型,99322,xin che xing
乐风,樂風,99164,le feng
展馆,展館,94800,zhan guan
油品,油品,89877,you pin
电瓶,電瓶,85500,dian ping
东风日产,東風日產,83309,dong feng ri chan
多宝,多寶,83061,duo bao
金鹰,金鷹,81091,jin ying
飞碟,飛碟,80370,fei die
汽车零部件,汽車零部件,77561,qi che ling bu jian
推车,推車,75208,tui che
中国二手车城,中國二手車城,75033,zhong guo er shou che cheng
蒙迪欧,蒙迪歐,74946,meng di ou
熄火,熄火,67504,xi huo
前保,前保,66741,qian bao
排放标准,排放標準,65601,pai fang biao zhun
野马,野馬,64462,ye ma
斯柯达,斯柯達,64091,si ke da
如虎,如虎,63744,ru hu
尾灯,尾燈,60438,wei deng
诺亚,諾亞,59479,nuo ya
排放量,排放量,841,pai fang liang
乐骋,樂騁,52194,le cheng
斯巴鲁,斯巴魯,51137,si ba lu
新凯,新凱,51033,xin kai
金牛座,金牛座,50659,jin niu zuo
猎豹,獵豹,48451,lie bao
中高级车,中高級車,48325,zhong gao ji che
自动挡,自動擋,47398,zi dong dang
自动变速箱,自動變速箱,46909,zi dong bian su xiang
犀牛,犀牛,46120,xi niu
新凯越,新凱越,45766,xin kai yue
拖车,拖車,45621,tuo che
欧陆,歐陸,45327,ou lu
计程车,計程車,44724,ji cheng che
汽车价格,汽車價格,41505,qi che jia ge
挡风玻璃,擋風玻璃,40925,dang feng bo li
奥克斯,奧克斯,39557,ao ke si
讴歌,謳歌,36576,ou ge
奥德赛,奧德賽,36172,ao de sai
碳纤维,碳纖維,35428,tan xian wei
东风悦达,東風悅達,35007,dong feng yue da
东风本田,東風本田,34937,dong feng ben tian
战斧,戰斧,34924,zhan fu
东风悦达起亚,東風悅達起亞,34385,dong feng yue da qi ya
挑战者,挑戰者,33958,tiao zhan zhe
品牌汽车,品牌汽車,33587,pin pai qi che
奥丁,奧丁,33267,ao ding
嘉华,嘉華,33136,jia hua
标枪,標槍,30930,biao qiang
高档轿车,高檔轎車,29726,gao dang jiao che
天津一汽,天津一汽,29372,tian jin yi qi
千斤顶,千斤頂,28702,qian jin ding
梅赛德斯,梅賽德斯,27788,mei sai de si
强音,強音,27744,qiang yin
手动变速箱,手動變速箱,26975,shou dong bian su xiang
真空泵,真空泵,25805,zhen kong beng
欧宝,歐寶,25253,ou bao
凌志,凌志,25166,ling zhi
颐达,頤達,25093,yi da
小灯,小燈,25058,xiao deng
