simp_word,trad_word,freq,pinyin
坚定不移,堅定不移,54113,jian ding bu yi
随时随地,隨時隨地,52510,sui shi sui di
全力以赴,全力以赴,36156,quan li yi fu
丰富多彩,豐富多彩,34727,feng fu duo cai
余波未平,餘波未平,32967,yu bo wei ping
脱颖而出,脫穎而出,31974,tuo ying er chu
实事求是,實事求是,31565,shi shi qiu shi
一如既往,一如既往,30338,yi ru ji wang
众所周知,衆所周知,29469,zhong suo zhou zhi
一年一度,一年一度,29188,yi nian yi du
因地制宜,因地制宜,27805,yin di zhi yi
千方百计,千方百計,27561,qian fang bai ji
息息相关,息息相關,25804,xi xi xiang guan
层出不穷,層出不窮,25301,ceng chu bu qiong
引人注目,引人注目,24076,yin ren zhu mu
当务之急,當務之急,22965,dang wu zhi ji
滥用职权,濫用職權,22885,lan yong zhi quan
深入人心,深入人心,22071,shen ru ren xin
解放思想,解放思想,21847,jie fang si xiang
见义勇为,見義勇爲,21157,jian yi yong wei
敲诈勒索,敲詐勒索,20827,qiao zha le suo
名不虚传,名不虛傳,20236,ming bu xu chuan
来之不易,來之不易,20180,lai zhi bu yi
名副其实,名副其實,20015,ming fu qi shi
下落不明,下落不明,19848,xia luo bu ming
坚持不懈,堅持不懈,19818,jian chi bu xie
源源不断,源源不斷,19395,yuan yuan bu duan
络绎不绝,絡繹不絕,19137,luo yi bu jue
弄虚作假,弄虛作假,19010,nong xu zuo jia
不可思议,不可思議,18980,bu ke si yi
不正之风,不正之風,18949,bu zheng zhi feng
小心翼翼,小心翼翼,18841,xiao xin yi yi
长治久安,長治久安,18732,chang zhi jiu an
如火如荼,如火如荼,18585,ru huo ru tu
不折不扣,不折不扣,18574,bu zhe bu kou
后顾之忧,後顧之憂,18005,hou gu zhi you
纸醉金迷,紙醉金迷,17612,zhi zui jin mi
力所能及,力所能及,17518,li suo neng ji
供不应求,供不應求,17422,gong bu ying qiu
一目了然,一目瞭然,17310,yi mu liao ran
显而易见,顯而易見,17273,xian er yi jian
持之以恒,持之以恆,16953,chi zhi yi heng
成千上万,成千上萬,16698,cheng qian shang wan
大街小巷,大街小巷,16354,da jie xiao xiang
可想而知,可想而知,16264,ke xiang er zhi
安居乐业,安居樂業,16133,an ju le ye
齐心协力,齊心協力,15972,qi xin xie li
得天独厚,得天獨厚,15675,de tian du hou
一见钟情,一見鍾情,15636,yi jian zhong qing
艰苦奋斗,艱苦奮鬥,15564,jian ku fen dou
全心全意,全心全意,15503,quan xin quan yi
独一无二,獨一無二,15496,du yi wu er
不约而同,不約而同,15230,bu yue er tong
紧锣密鼓,緊鑼密鼓,15200,jin luo mi gu
五花八门,五花八門,15109,wu hua ba men
一应俱全,一應俱全,15089,yi ying ju quan
应运而生,應運而生,14881,ying yun er sheng
与众不同,與衆不同,14801,yu zhong bu tong
触目惊心,觸目驚心,14766,chu mu jing xin
屡见不鲜,屢見不鮮,14553,lv jian bu xian
无独有偶,無獨有偶,14457,wu du you ou
行之有效,行之有效,14353,xing zhi you xiao
不知不觉,不知不覺,14263,bu zhi bu jue
大势所趋,大勢所趨,14236,da shi suo qu
千家万户,千家萬戶,14142,qian jia wan hu
心有余悸,心有餘悸,13820,xin you yu ji
不得而知,不得而知,13727,bu de er zhi
前所未有,前所未有,13620,qian suo wei you
迫不及待,迫不及待,13603,po bu ji dai
雪上加霜,雪上加霜,13570,xue shang jia shuang
迫在眉睫,迫在眉睫,13502,po zai mei jie
此起彼伏,此起彼伏,13494,ci qi bi fu
脚踏实地,腳踏實地,13433,jiao ta shi di
意想不到,意想不到,13303,yi xiang bu dao
错综复杂,錯綜複雜,13132,cuo zong fu za
无可厚非,無可厚非,13090,wu ke hou fei
源远流长,源遠流長,13043,yuan yuan liu chang
举一反三,舉一反三,13004,ju yi fan san
循序渐进,循序漸進,12875,xun xu jian jin
不遗余力,不遺餘力,12844,bu yi yu li
不言而喻,不言而喻,12652,bu yan er yu
讨价还价,討價還價,12516,tao jia huan jia
深恶痛绝,深惡痛絕,12511,shen wu tong jue
三位一体,三位一體,12414,san wei yi ti
截然不同,截然不同,12326,jie ran bu tong
记忆犹新,記憶猶新,12263,ji yi you xin
喜闻乐见,喜聞樂見,12230,xi wen le jian
家喻户晓,家喻戶曉,12098,jia yu hu xiao
日新月异,日新月異,12066,ri xin yue yi
取而代之,取而代之,12053,qu er dai zhi
莫名其妙,莫名其妙,11999,mo ming qi miao
名列前茅,名列前茅,11993,ming lie qian mao
排忧解难,排憂解難,11980,pai you jie nan
各式各样,各式各樣,11976,ge shi ge yang
玩忽职守,翫忽職守,11949,wan hu zhi shou
任重道远,任重道遠,11946,ren zhong dao yuan
奋发有为,奮發有爲,11859,fen fa you wei
举足轻重,舉足輕重,11820,ju zu qing zhong
比比皆是,比比皆是,11743,bi bi jie shi
卓有成效,卓有成效,11730,zhuo you cheng xiao
落地生根,落地生根,11714,luo di sheng gen
势在必行,勢在必行,11637,shi zai bi xing
史无前例,史無前例,11636,shi wu qian li
理所当然,理所當然,11591,li suo dang ran
耳熟能详,耳熟能詳,11453,er shu neng xiang
由来已久,由來已久,11434,you lai yi jiu
一模一样,一模一樣,11401,yi mu yi yang
厉行节约,厲行節約,11378,li xing jie yue
恶性循环,惡性循環,11335,e xing xun huan
铤而走险,鋌而走險,11292,ting er zou xian
举世瞩目,舉世矚目,11230,ju shi zhu mu
再接再厉,再接再厲,11218,zai jie zai li
足不出户,足不出戶,11172,zu bu chu hu
翻天覆地,翻天覆地,11138,fan tian fu di
非同寻常,非同尋常,11077,fei tong xun chang
挨家挨户,挨家挨戶,11057,ai jia ai hu
不翼而飞,不翼而飛,11020,bu yi er fei
参差不齐,參差不齊,10983,cen ci bu qi
水涨船高,水漲船高,10972,shui zhang chuan gao
沸沸扬扬,沸沸揚揚,10931,fei fei yang yang
先发制人,先發制人,10913,xian fa zhi ren
轩然大波,軒然大波,10893,xuan ran da bo
土生土长,土生土長,10861,tu sheng tu zhang
出人意料,出人意料,10861,chu ren yi liao
统筹兼顾,統籌兼顧,10847,tong chou jian gu
明察暗访,明察暗訪,10825,ming cha an fang
刻不容缓,刻不容緩,10797,ke bu rong huan
融为一体,融爲一體,10758,rong wei yi ti
焕然一新,煥然一新,10740,huan ran yi xin
以身作则,以身作則,10717,yi shen zuo ze
潜移默化,潛移默化,10707,qian yi mo hua
风口浪尖,風口浪尖,10663,feng kou lang jian
有条不紊,有條不紊,10326,you tiao bu wen
归根结底,歸根結底,10289,gui gen jie di
发扬光大,發揚光大,10276,fa yang guang da
旗帜鲜明,旗幟鮮明,10236,qi zhi xian ming
万无一失,萬無一失,10222,wan wu yi shi
可见一斑,可見一斑,10214,ke jian yi ban
一视同仁,一視同仁,10136,yi shi tong ren
相辅相成,相輔相成,10077,xiang fu xiang cheng
淋漓尽致,淋漓盡致,9971,lin li jin zhi
耳目一新,耳目一新,9971,er mu yi xin
不了了之,不了了之,9877,bu liao liao zhi
热火朝天,熱火朝天,9846,re huo chao tian
有目共睹,有目共睹,9788,you mu gong du
久而久之,久而久之,9768,jiu er jiu zhi
视而不见,視而不見,9757,shi er bu jian
自强不息,自強不息,9753,zi qiang bu xi
以权谋私,以權謀私,9641,yi quan mou si
继往开来,繼往開來,9625,ji wang kai lai
赞不绝口,讚不絕口,9602,zan bu jue kou
义不容辞,義不容辭,9525,yi bu rong ci
未雨绸缪,未雨綢繆,9508,wei yu chou mou
一举一动,一舉一動,9506,yi ju yi dong
绳之以法,繩之以法,9496,sheng zhi yi fa
