simp_word,trad_word,freq,pinyin
﻿中国,﻿中國,1932582,﻿ zhong guo
北京,北京,1119506,bei jing
美国,美國,864762,mei guo
医院,醫院,562296,yi yuan
学校,學校,523819,xue xiao
法院,法院,367721,fa yuan
小区,小區,296799,xiao qu
市委,市委,273654,shi wei
公园,公園,263125,gong yuan
南方,南方,256007,nan fang
市政府,市政府,247487,shi zheng fu
公安,公安,243740,gong an
公安局,公安局,232177,gong an ju
派出所,派出所,226373,pai chu suo
酒店,酒店,201212,jiu dian
广场,廣場,200272,guang chang
城区,城區,193645,cheng qu
北京市,北京市,189725,bei jing shi
公交,公交,185562,gong jiao
小学,小學,185465,xiao xue
广东省,廣東省,182201,guang dong sheng
学院,學院,180428,xue yuan
机场,機場,180272,ji chang
德国,德國,180048,de guo
图书馆,圖書館,163292,tu shu guan
公路,公路,162748,gong lu
亚洲,亞洲,161695,ya zhou
电视台,電視臺,161206,dian shi tai
省政府,省政府,159400,sheng zheng fu
大陆,大陸,145538,da lu
西方,西方,139367,xi fang
路边,路邊,130486,lu bian
车上,車上,126881,che shang
湖南省,湖南省,126474,hu nan sheng
高速公路,高速公路,122493,gao su gong lu
游泳池,游泳池,120845,you yong chi
中学,中學,120816,zhong xue
气象台,氣象臺,118226,qi xiang tai
地下,地下,117932,di xia
新兴,新興,116407,xin xing
北川,北川,116127,bei chuan
炼油厂,煉油廠,115663,lian you chang
玄武,玄武,115495,xuan wu
商家,商家,108256,shang jia
工厂,工廠,107801,gong chang
长江,長江,107102,chang jiang
内地,內地,106407,nei di
研究院,研究院,106061,yan jiu yuan
上海市,上海市,103874,shang hai shi
车站,車站,101570,che zhan
南都,南都,100491,nan dou
路口,路口,99482,lu kou
幼儿园,幼兒園,99108,you er yuan
大厅,大廳,96687,da ting
东北,東北,95674,dong bei
村里,村裏,94459,cun li
大道,大道,94177,da dao
海洋,海洋,93290,hai yang
源头,源頭,92799,yuan tou
服务中心,服務中心,92481,fu wu zhong xin
深圳市,深圳市,91490,shen zhen shi
马路,馬路,89237,ma lu
沿海,沿海,86113,yan hai
自治区,自治區,85927,zi zhi qu
商场,商場,82526,shang chang
江苏省,江蘇省,82435,jiang su sheng
博物馆,博物館,81646,bo wu guan
车道,車道,81033,che dao
四川省,四川省,79853,si chuan sheng
大楼,大樓,79668,da lou
水库,水庫,79400,shui ku
西南,西南,78544,xi nan
大桥,大橋,78032,da qiao
市政,市政,77913,shi zheng
火车站,火車站,77564,huo che zhan
教育部,教育部,77007,jiao yu bu
停车场,停車場,75703,ting che chang
办事处,辦事處,74031,ban shi chu
会同,會同,73427,hui tong
山东省,山東省,72892,shan dong sheng
北方,北方,67870,bei fang
浙江省,浙江省,67301,zhe jiang sheng
湖北省,湖北省,66733,hu bei sheng
宾馆,賓館,66069,bin guan
台北,臺北,65504,tai bei
区内,區內,64735,qu nei
重庆市,重慶市,62896,chong qing shi
武汉市,武漢市,62786,wu han shi
餐厅,餐廳,62518,can ting
新一,新一,62480,xin yi
县政府,縣政府,61959,xian zheng fu
楼房,樓房,60449,lou fang
南京市,南京市,60063,nan jing shi
旅游局,旅遊局,59056,lv you ju
航空公司,航空公司,58993,hang kong gong si
成都市,成都市,58244,cheng du shi
码头,碼頭,57381,ma tou
温州,溫州,57362,wen zhou
长沙市,長沙市,57257,chang sha shi
西班牙,西班牙,57115,xi ban ya
华南,華南,56811,hua nan
港口,港口,56702,gang kou
大街,大街,55027,da jie
人民医院,人民醫院,54454,ren min yi yuan
阿富汗,阿富汗,54219,a fu han
楼下,樓下,54169,lou xia
大洋,大洋,53500,da yang
北京大学,北京大學,53165,bei jing da xue
俱乐部,俱樂部,52991,ju le bu
大会堂,大會堂,52908,da hui tang
华西,華西,52831,hua xi
河北省,河北省,52633,he bei sheng
云南省,雲南省,52514,yun nan sheng
商店,商店,51902,shang dian
上都,上都,51677,shang dou
车厢,車廂,50988,che xiang
花园,花園,50885,hua yuan
公安分局,公安分局,50318,gong an fen ju
海关,海關,50242,hai guan
大都,大都,50134,da du
省人大,省人大,49892,sheng ren da
园林,園林,49432,yuan lin
三角,三角,49129,san jiao
村委会,村委會,48969,cun wei hui
新城,新城,48047,xin cheng
南昌,南昌,48014,nan chang
东南,東南,48008,dong nan
区政府,區政府,47521,qu zheng fu
陕西省,陝西省,47447,shan xi sheng
店里,店裏,47284,dian li
南非,南非,47245,nan fei
安徽省,安徽省,47140,an hui sheng
西安市,西安市,46256,xi an shi
福建省,福建省,45996,fu jian sheng
海南省,海南省,45812,hai nan sheng
大厦,大廈,45485,da sha
新华,新華,45169,xin hua
山西省,山西省,44875,shan xi sheng
仓库,倉庫,44747,cang ku
国道,國道,44011,guo dao
房地产市场,房地產市場,43450,fang di chan shi chang
江西省,江西省,43234,jiang xi sheng
管委会,管委會,42655,guan wei hui
河流,河流,41973,he liu
振兴,振興,41928,zhen xing
民政局,民政局,41184,min zheng ju
龙头,龍頭,40393,long tou
工商局,工商局,40220,gong shang ju
国际机场,國際機場,40201,guo ji ji chang
西北部,西北部,39269,xi bei bu
居委会,居委會,38061,ju wei hui
北大,北大,37718,bei da
市公安局,市公安局,37155,shi gong an ju
保险公司,保險公司,37103,bao xian gong si
出版社,出版社,36484,chu ban she
卫生局,衛生局,36392,wei sheng ju
印尼,印尼,36365,yin ni
京城,京城,36168,jing cheng
收费站,收費站,35901,shou fei zhan
丝绸之路,絲綢之路,35712,si chou zhi lu
中原,中原,35678,zhong yuan
上新,上新,35616,shang xin
甘肃省,甘肅省,35534,gan su sheng
交警大队,交警大隊,35379,jiao jing da dui
遗址,遺址,35332,yi zhi
直辖市,直轄市,35178,zhi xia shi
郑州市,鄭州市,35023,zheng zhou shi
东莞市,東莞市,34342,dong guan shi
楼上,樓上,34049,lou shang
市政协,市政協,33890,shi zheng xie
电台,電臺,33709,dian tai
上方,上方,33706,shang fang
汶川,汶川,33503,wen chuan
高地,高地,31784,gao di
交警支队,交警支隊,31250,jiao jing zhi dui
批发市场,批發市場,31244,pi fa shi chang
贵州省,貴州省,31219,gui zhou sheng
清华,清華,31209,qing hua
浦东,浦東,30983,pu dong
济南市,濟南市,30538,ji nan shi
元和,元和,30207,yuan he
台上,臺上,29756,tai shang
辽宁省,遼寧省,29726,liao ning sheng
云集,雲集,29359,yun ji
财政局,財政局,29140,cai zheng ju
经济带,經濟帶,29093,jing ji dai
向北,向北,29008,xiang bei
吉林省,吉林省,28944,ji lin sheng
党校,黨校,28584,dang xiao
首府,首府,28478,shou fu
看守所,看守所,28418,kan shou suo
古城,古城,28390,gu cheng
杭州市,杭州市,28011,hang zhou shi
美的,美的,27918,mei de
隶属,隸屬,27767,li shu
复旦大学,復旦大學,27663,fu dan da xue
中都,中都,27644,zhong dou
合肥市,合肥市,27520,he fei shi
天津市,天津市,27495,tian jin shi
总统府,總統府,27371,zong tong fu
城里,城裏,27193,cheng li
邮政,郵政,27090,you zheng
洛杉矶,洛杉磯,26953,luo shan ji
加油站,加油站,26435,jia you zhan
总工会,總工會,26166,zong gong hui
卫生厅,衛生廳,26149,wei sheng ting
黑龙江省,黑龍江省,26118,hei long jiang sheng
株洲,株洲,25882,zhu zhou
铁路局,鐵路局,25678,tie lu ju
青岛市,青島市,25247,qing dao shi
艺术学院,藝術學院,25040,yi shu xue yuan
消防支队,消防支隊,24615,xiao fang zhi dui
农贸市场,農貿市場,24505,nong mao shi chang
国资委,國資委,24451,guo zi wei
商业银行,商業銀行,24433,shang ye yin hang
万家,萬家,24221,wan jia
兰州市,蘭州市,24140,lan zhou shi
湘潭,湘潭,23562,xiang tan
中山大学,中山大學,23517,zhong shan da xue
草坪,草坪,23365,cao ping
安定,安定,22983,an ding
内蒙古自治区,內蒙古自治區,22882,nei meng gu zi zhi qu
园内,園內,22779,yuan nei
集成,集成,22431,ji cheng
新疆维吾尔自治区,新疆維吾爾自治區,22409,xin jiang wei wu er zi zhi qu
体育馆,體育館,22276,ti yu guan
省道,省道,22249,sheng dao
岳阳,岳陽,22210,yue yang
沈阳市,瀋陽市,22184,shen yang shi
珠江,珠江,21989,zhu jiang
立交桥,立交橋,21988,li jiao qiao
关口,關口,21984,guan kou
北美,北美,21980,bei mei
林业局,林業局,21924,lin ye ju
产业园区,產業園區,21786,chan ye yuan qu
发售,發售,21682,fa shou
菜市场,菜市場,21452,cai shi chang
动物园,動物園,21318,dong wu yuan
厂区,廠區,21238,chang qu
香港特区,香港特區,21215,xiang gang te qu
司法局,司法局,21100,si fa ju
高雄,高雄,20842,gao xiong
镇政府,鎮政府,20792,zhen zheng fu
海淀,海淀,20666,hai dian
长城,長城,20589,chang cheng
建委,建委,20495,jian wei
行政区,行政區,20475,xing zheng qu
森林公园,森林公園,20440,sen lin gong yuan
中韩,中韓,20216,zhong han
科学院,科學院,20186,ke xue yuan
三峡,三峽,20176,san xia
客运站,客運站,20038,ke yun zhan
昆明市,昆明市,19982,kun ming shi
台北市,臺北市,19961,tai bei shi
购物中心,購物中心,19834,gou wu zhong xin
岭南,嶺南,19727,ling nan
番禺,番禺,19678,pan yu
江北,江北,19566,jiang bei
管理学院,管理學院,19414,guan li xue yuan
大棚,大棚,19266,da peng
大河,大河,19257,da he
广西壮族自治区,廣西壯族自治區,18812,guang xi zhuang zu zi zhi qu
苏宁,蘇寧,18743,su ning
高山,高山,18735,gao shan
佛山市,佛山市,18579,fo shan shi
革新,革新,18544,ge xin
天桥,天橋,18543,tian qiao
中医院,中醫院,18488,zhong yi yuan
衡阳,衡陽,18318,heng yang
矿山,礦山,18213,kuang shan
美术馆,美術館,18199,mei shu guan
中山市,中山市,18081,zhong shan shi
小店,小店,17987,xiao dian
巴勒斯坦,巴勒斯坦,17725,ba le si tan
气象局,氣象局,17674,qi xiang ju
大山,大山,17600,da shan
剧院,劇院,17396,ju yuan
中心区,中心區,17375,zhong xin qu
南站,南站,17279,nan zhan
教学楼,教學樓,17273,jiao xue lou
福田,福田,17227,fu tian
二站,二站,17129,er zhan
执法局,執法局,17061,zhi fa ju
海底,海底,16986,hai di
殡仪馆,殯儀館,16914,bin yi guan
青海省,青海省,16869,qing hai sheng
东城,東城,16771,dong cheng
市里,市裏,16722,shi li
步行街,步行街,16648,bu xing jie
地税局,地稅局,16636,di shui ju
金陵,金陵,16536,jin ling
天河,天河,16406,tian he
桥下,橋下,16405,qiao xia
中国银行,中國銀行,16311,zhong guo yin hang
农业大学,農業大學,16285,nong ye da xue
沙漠,沙漠,16175,sha mo
大江,大江,16120,da jiang
汽车站,汽車站,16104,qi che zhan
矿产资源,礦產資源,16052,kuang chan zi yuan
也门,也門,16028,ye men
万里,萬里,15952,wan li
会展中心,會展中心,15936,hui zhan zhong xin
新疆生产建设兵团,新疆生產建設兵團,15930,xin jiang sheng chan jian she bing tuan
一中,一中,15734,yi zhong
湘江,湘江,15539,xiang jiang
故宫,故宮,15526,gu gong
西湖,西湖,15441,xi hu
长春市,長春市,15403,chang chun shi
消防中队,消防中隊,15373,xiao fang zhong dui
江汉,江漢,15263,jiang han
检查站,檢查站,15259,jian cha zhan
电站,電站,15247,dian zhan
台中,臺中,15226,tai zhong
体育场,體育場,15132,ti yu chang
污水处理厂,污水處理廠,15121,wu shui chu li chang
加工厂,加工廠,15091,jia gong chang
城内,城內,15039,cheng nei
残联,殘聯,15039,can lian
关上,關上,15023,guan shang
石家庄市,石家莊市,15012,shi jia zhuang shi
沙滩,沙灘,14977,sha tan
热带风暴,熱帶風暴,14891,re dai feng bao
医科大学,醫科大學,14882,yi ke da xue
安全局,安全局,14879,an quan ju
电影院,電影院,14843,dian ying yuan
温州市,溫州市,14825,wen zhou shi
邵阳,邵陽,14727,shao yang
住宅小区,住宅小區,14697,zhu zhai xiao qu
交通局,交通局,14607,jiao tong ju
敬老院,敬老院,14538,jing lao yuan
海口市,海口市,14466,hai kou shi
山林,山林,14452,shan lin
欧亚,歐亞,14443,ou ya
近海,近海,14438,jin hai
后门,後門,14401,hou men
公交车站,公交車站,14392,gong jiao che zhan
桥上,橋上,14382,qiao shang
桥面,橋面,14347,qiao mian
新风,新風,14270,xin feng
遗迹,遺蹟,14222,yi ji
