simp_word,trad_word,freq,pinyin
土豆,土豆,1777511,tu dou
苹果,蘋果,1143881,ping guo
蛋糕,蛋糕,815478,dan gao
牛奶,牛奶,708129,niu nai
面包,麪包,593637,mian bao
豆腐,豆腐,511649,dou fu
萝卜,蘿蔔,494881,luo bo
巧克力,巧克力,373599,qiao ke li
点心,點心,345920,dian xin
火锅,火鍋,324863,huo guo
海鲜,海鮮,309902,hai xian
葡萄酒,葡萄酒,298849,pu tao jiu
包子,包子,288537,bao zi
馒头,饅頭,245498,man tou
羊肉,羊肉,242351,yang rou
柠檬,檸檬,216416,ning meng
香蕉,香蕉,213220,xiang jiao
淀粉,澱粉,207643,dian fen
酱油,醬油,169116,jiang you
核桃,核桃,166694,he tao
饮用水,飲用水,164027,yin yong shui
鸳鸯,鴛鴦,159379,yuan yang
青团,青團,157219,qing tuan
米饭,米飯,154542,mi fan
酸奶,酸奶,153794,suan nai
豆浆,豆漿,149318,dou jiang
白糖,白糖,148447,bai tang
方便面,方便麪,147895,fang bian mian
可口可乐,可口可樂,147493,ke kou ke le
乙醇,乙醇,145895,yi chun
红柿,紅柿,145302,hong shi
普洱茶,普洱茶,143106,pu er cha
西红柿,西紅柿,142633,xi hong shi
茅台,茅臺,138697,mao tai
鱼类,魚類,137579,yu lei
磷酸,磷酸,131081,lin suan
托盘,托盤,128371,tuo pan
青梅,青梅,127492,qing mei
沙拉,沙拉,121544,sha la
奶油,奶油,115847,nai you
石膏,石膏,114616,shi gao
石榴,石榴,113867,shi liu
豆油,豆油,112470,dou you
奶酪,奶酪,110257,nai lao
青菜,青菜,110184,qing cai
奶茶,奶茶,109759,nai cha
肉眼,肉眼,107745,rou yan
木耳,木耳,107136,mu er
铁板,鐵板,105443,tie ban
生姜,生薑,102878,sheng jiang
黄豆,黃豆,102012,huang dou
三七,三七,101601,san qi
烤肉,烤肉,101498,kao rou
大肉,大肉,100457,da rou
洋葱,洋蔥,94307,yang cong
娃哈哈,娃哈哈,92268,wa ha ha
香菇,香菇,90300,xiang gu
松花,松花,89074,song hua
川菜,川菜,88350,chuan cai
海带,海帶,86704,hai dai
五粮液,五糧液,85600,wu liang ye
鱿鱼,魷魚,80989,you yu
山药,山藥,80972,shan yao
聚乙烯,聚乙烯,80610,ju yi xi
橄榄油,橄欖油,78094,gan lan you
冬瓜,冬瓜,77776,dong gua
果后,果後,76813,guo hou
韭菜,韭菜,73374,jiu cai
纯净水,純淨水,72812,chun jing shui
狗肉,狗肉,71864,gou rou
甘露,甘露,70746,gan lu
冰点,冰點,69573,bing dian
豆芽,豆芽,69507,dou ya
释迦,釋迦,68944,shi jia
比萨,比薩,67765,bi sa
糖水,糖水,67043,tang shui
胡萝卜素,胡蘿蔔素,65636,hu luo bo su
香草,香草,65497,xiang cao
藏宝,藏寶,65341,cang bao
泡菜,泡菜,65243,pao cai
铁观音,鐵觀音,63823,tie guan yin
鱼头,魚頭,62089,yu tou
鲜奶,鮮奶,61845,xian nai
盐酸,鹽酸,61337,yan suan
油条,油條,60357,you tiao
叶酸,葉酸,60269,ye suan
虾米,蝦米,59446,xia mi
防腐剂,防腐劑,58724,fang fu ji
稻谷,稻穀,58325,dao gu
粤菜,粵菜,56098,yue cai
磷脂,磷脂,56076,lin zhi
健力,健力,55428,jian li
香肠,香腸,54730,xiang chang
桔子,桔子,53939,ju zi
烟熏,煙燻,53502,yan xun
花生油,花生油,53311,hua sheng you
康师傅,康師傅,52243,kang shi fu
健力宝,健力寶,51986,jian li bao
香菜,香菜,51824,xiang cai
鸡尾酒,雞尾酒,50476,ji wei jiu
全聚德,全聚德,50028,quan ju de
咖啡因,咖啡因,49733,ka fei yin
劲风,勁風,49128,jing feng
二氧化硫,二氧化硫,48550,er yang hua liu
猪肝,豬肝,48176,zhu gan
馄饨,餛飩,47850,hun tun
威士忌,威士忌,47814,wei shi ji
冷面,冷麪,46887,leng mian
面皮,麪皮,45060,mian pi
烧肉,燒肉,44694,shao rou
咖喱,咖喱,44292,ga li
山鸡,山雞,43818,shan ji
紫菜,紫菜,43488,zi cai
百事可乐,百事可樂,42999,bai shi ke le
米线,米線,42854,mi xian
黄油,黃油,42522,huang you
米粥,米粥,42118,mi zhou
乌龙茶,烏龍茶,40948,wu long cha
烤箱,烤箱,40543,kao xiang
猕猴桃,獼猴桃,40357,mi hou tao
家常菜,家常菜,40327,jia chang cai
果肉,果肉,40084,guo rou
冰激凌,冰激凌,39999,bing ji ling
米面,米麪,39952,mi mian
三明治,三明治,39511,san ming zhi
带鱼,帶魚,38818,dai yu
大丰收,大豐收,38682,da feng shou
千张,千張,36875,qian zhang
芭蕉,芭蕉,36594,ba jiao
生菜,生菜,36564,sheng cai
