simp_word,trad_word,freq,pinyin
版权,版權,13204281,ban quan
证券,證券,5744085,zheng quan
房地产,房地產,5638548,fang di chan
制度,制度,5358541,zhi du
模式,模式,4565906,mo shi
改革,改革,4468819,gai ge
权利,權利,4193817,quan li
监督,監督,3393811,jian du
规范,規範,3247208,gui fan
守法,守法,3056429,shou fa
法院,法院,2568854,fa yuan
侵犯,侵犯,2472282,qin fan
收购,收購,2083165,shou gou
非法,非法,2060497,fei fa
上市公司,上市公司,1873713,shang shi gong si
违法,違法,1735551,wei fa
执法,執法,1363564,zhi fa
有关部门,有關部門,1346085,you guan bu men
债券,債券,1290637,zhai quan
披露,披露,1261363,pi lu
专利,專利,1187911,zhuan li
董事长,董事長,1132889,dong shi zhang
招标,招標,1024560,zhao biao
签约,簽約,993894,qian yue
欺诈,欺詐,864056,qi zha
冷静,冷靜,857233,leng jing
院长,院長,848044,yuan zhang
协商,協商,837393,xie shang
全国人大常委会,全國人大常委會,795474,quan guo ren da chang wei hui
省委,省委,771238,sheng wei
有限责任公司,有限責任公司,738488,you xian ze ren gong si
门户网站,門戶網站,709334,men hu wang zhan
债务,債務,703307,zhai wu
保险公司,保險公司,696568,bao xian gong si
判决,判決,693724,pan jue
汇报,彙報,692029,hui bao
新股,新股,649361,xin gu
承包,承包,643225,cheng bao
生效,生效,621858,sheng xiao
市场经济,市場經濟,620032,shi chang jing ji
拆迁,拆遷,608452,chai qian
查处,查處,595249,cha chu
标注,標註,577717,biao zhu
章程,章程,552307,zhang cheng
缺陷,缺陷,551600,que xian
默认,默認,529996,mo ren
宏观调控,宏觀調控,528763,hong guan tiao kong
遗产,遺產,503460,yi chan
跨越,跨越,497857,kua yue
承担责任,承擔責任,495483,cheng dan ze ren
阴谋,陰謀,472552,yin mou
证券交易所,證券交易所,444378,zheng quan jiao yi suo
回避,迴避,442118,hui bi
强奸,強姦,432268,qiang jian
债权,債權,427988,zhai quan
国家安全,國家安全,418214,guo jia an quan
佣金,佣金,410415,yong jin
承接,承接,394408,cheng jie
责任感,責任感,380622,ze ren gan
权利人,權利人,380557,quan li ren
国家法律,國家法律,372102,guo jia fa lv
分割,分割,364626,fen ge
侵权行为,侵權行爲,360916,qin quan xing wei
电站,電站,353975,dian zhan
证券市场,證券市場,351461,zheng quan shi chang
营业执照,營業執照,349033,ying ye zhi zhao
违约,違約,345348,wei yue
全球化,全球化,326424,quan qiu hua
市盈率,市盈率,319684,shi ying lv
推迟,推遲,317690,tui chi
虐待,虐待,312282,nve dai
增值税,增值稅,311083,zeng zhi shui
违法行为,違法行爲,310316,wei fa xing wei
未成年人,未成年人,309061,wei cheng nian ren
公司董事会,公司董事會,302009,gong si dong shi hui
没收,沒收,298385,mo shou
有车,有車,293418,you che
有效期,有效期,285186,you xiao qi
维权,維權,282691,wei quan
