simp_word,trad_word,freq,pinyin
毛泽东,毛澤東,61678,mao ze dong
胡锦涛,胡錦濤,58429,hu jin tao
普京,普京,49718,pu jing
温家宝,溫家寶,48611,wen jia bao
赵本山,趙本山,43172,zhao ben shan
马英九,馬英九,39748,ma ying jiu
孙子,孫子,35988,sun zi
唐师曾,唐師曾,34352,tang shi ceng
陆军,陸軍,33698,lu jun
郭晶晶,郭晶晶,32920,guo jing jing
约翰,約翰,30339,yue han
元和,元和,30207,yuan he
周恩来,周恩來,29617,zhou en lai
林彪,林彪,25916,lin biao
田间,田間,25541,tian jian
庄则栋,莊則棟,25496,zhuang ze dong
高昂,高昂,25250,gao ang
希拉里,希拉里,25169,xi la li
李鹏,李鵬,23608,li peng
克林顿,克林頓,22089,ke lin dun
潘基文,潘基文,21464,pan ji wen
雷锋,雷鋒,21162,lei feng
孔子,孔子,20933,kong zi
汪洋,汪洋,19675,wang yang
邓小平,鄧小平,19616,deng xiao ping
诺贝尔,諾貝爾,19013,nuo bei er
布什,布什,18703,bu shen
穆罕默德,穆罕默德,18331,mu han mo de
默克尔,默克爾,18272,mo ke er
威廉,威廉,16117,wei lian
乔治,喬治,16047,qiao zhi
王毅,王毅,15544,wang yi
罗马,羅馬,15286,luo ma
罗伯特,羅伯特,14633,luo bo te
迈克尔,邁克爾,14508,mai ke er
陈水扁,陳水扁,14173,chen shui bian
马克,馬克,13791,ma ke
詹姆斯,詹姆斯,13757,zhan mu si
米歇尔,米歇爾,12581,mi xie er
蒋介石,蔣介石,12454,jiang jie shi
亚历山大,亞歷山大,12426,ya li shan da
鲁迅,魯迅,12366,lu xun
张扬,張揚,12199,zhang yang
戴维,戴維,11952,dai wei
孙中山,孫中山,11919,sun zhong shan
保罗,保羅,11731,bao luo
金正日,金正日,11351,jin zheng ri
毛岸英,毛岸英,11291,mao an ying
奥斯卡,奧斯卡,11242,ao si ka
马丁,馬丁,10422,ma ding
李斌,李斌,10290,li bin
光绪,光緒,10210,guang xu
布朗,布朗,10130,bu lang
盖茨,蓋茨,10107,gai ci
比尔,比爾,10099,bi er
李强,李強,9897,li qiang
彼得,彼得,9895,bi de
李娜,李娜,9838,li na
马云,馬雲,9832,ma yun
福布斯,福布斯,9794,fu bu si
康熙,康熙,9760,kang xi
艾哈迈德,艾哈邁德,9717,ai ha mai de
福特,福特,9586,fu te
苏醒,甦醒,9569,su xing
嫦娥,嫦娥,9317,chang e
白求恩,白求恩,9084,bai qiu en
孙俪,孫儷,8710,sun li
大卫,大衛,8613,da wei
王刚,王剛,8505,wang gang
托马斯,托馬斯,8396,tuo ma si
袁隆平,袁隆平,8258,yuan long ping
爱德华,愛德華,8254,ai de hua
杨开慧,楊開慧,8246,yang kai hui
王磊,王磊,8154,wang lei
张杰,張傑,8094,zhang jie
杜鹃,杜鵑,8038,du juan
汉武帝,漢武帝,7975,han wu di
李云迪,李雲迪,7967,li yun di
周强,周強,7950,zhou qiang
朱元璋,朱元璋,7939,zhu yuan zhang
郁达夫,郁達夫,7935,yu da fu
阿基诺,阿基諾,7898,a ji nuo
弗拉基米尔,弗拉基米爾,7888,fu la ji mi er
陈云,陳雲,7684,chen yun
姚明,姚明,7647,yao ming
王伟,王偉,7640,wang wei
