simp_word,trad_word,freq,pinyin
精神,精神,606946,jing shen
医院,醫院,580436,yi yuan
检查,檢查,580138,jian cha
死亡,死亡,428687,si wang
恢复,恢復,329411,hui fu
意识,意識,299155,yi shi
医疗,醫療,290407,yi liao
治疗,治療,287165,zhi liao
卫生,衛生,242636,wei sheng
患者,患者,195788,huan zhe
检测,檢測,189815,jian ce
接触,接觸,186659,jie chu
监测,監測,179771,jian ce
应急,應急,176681,ying ji
缓解,緩解,174909,huan jie
预防,預防,161366,yu fang
损害,損害,155599,sun hai
疾病,疾病,152915,ji bing
手术,手術,117069,shou shu
病人,病人,109328,bing ren
人体,人體,94970,ren ti
感染,感染,94768,gan ran
症状,症狀,89318,zheng zhuang
医学,醫學,86135,yi xue
一次性,一次性,82632,yi ci xing
诊断,診斷,82265,zhen duan
医药,醫藥,78913,yi yao
防治,防治,77390,fang zhi
辐射,輻射,75581,fu she
生物,生物,70512,sheng wu
吸收,吸收,70373,xi shou
敏感,敏感,69913,min gan
药物,藥物,69709,yao wu
人民医院,人民醫院,69179,ren min yi yuan
部位,部位,66422,bu wei
康复,康復,66120,kang fu
自杀,自殺,65113,zi sha
营养,營養,64702,ying yang
流行,流行,64209,liu xing
高压,高壓,63018,gao ya
医疗机构,醫療機構,62233,yi liao ji gou
急救,急救,58974,ji jiu
残疾人,殘疾人,58094,can ji ren
婴儿,嬰兒,54553,ying er
血液,血液,54242,xue ye
皮肤,皮膚,53703,pi fu
复苏,復甦,53233,fu su
应急预案,應急預案,53210,ying ji yu an
临床,臨牀,52763,lin chuang
扩张,擴張,52225,kuo zhang
保健,保健,50989,bao jian
残疾,殘疾,50379,can ji
救护车,救護車,48645,jiu hu che
抑制,抑制,47641,yi zhi
视觉,視覺,46790,shi jue
良性,良性,46549,liang xing
样本,樣本,45940,yang ben
不适,不適,45057,bu shi
疫情,疫情,44789,yi qing
身高,身高,44536,shen gao
多发,多發,43537,duo fa
中医,中醫,42569,zhong yi
重组,重組,42474,chong zu
体内,體內,42460,ti nei
损伤,損傷,40020,sun shang
消化,消化,40001,xiao hua
怀孕,懷孕,39849,huai yun
积水,積水,39447,ji shui
病毒,病毒,38831,bing du
诊疗,診療,38621,zhen liao
心脏,心臟,38546,xin zang
计划生育,計劃生育,37743,ji hua sheng yu
体重,體重,37618,ti zhong
视角,視角,37574,shi jiao
恶性,惡性,36729,e xing
神经,神經,36506,shen jing
癌症,癌症,35606,ai zheng
骨折,骨折,35382,gu zhe
致死,致死,35355,zhi si
消毒,消毒,34296,xiao du
疲劳,疲勞,34216,pi lao
呼吸,呼吸,33975,hu xi
公共卫生,公共衛生,33940,gong gong wei sheng
疼痛,疼痛,33557,teng tong
孕妇,孕婦,32878,yun fu
基因,基因,32641,ji yin
瘫痪,癱瘓,31795,tan huan
昏迷,昏迷,31442,hun mi
伤口,傷口,31081,shang kou
检疫,檢疫,30790,jian yi
糖尿病,糖尿病,28733,tang niao bing
外科,外科,28090,wai ke
高血压,高血壓,27960,gao xue ya
心脏病,心臟病,27533,xin zang bing
卫生局,衛生局,27235,wei sheng ju
样品,樣品,27048,yang pin
中毒,中毒,26243,zhong du
肢体,肢體,25456,zhi ti
睡眠,睡眠,25340,shui mian
生命力,生命力,25218,sheng ming li
世界卫生组织,世界衛生組織,24856,shi jie wei sheng zu zhi
中药,中藥,24400,zhong yao
生理,生理,24183,sheng li
大脑,大腦,24157,da nao
肿瘤,腫瘤,23899,zhong liu
发育,發育,23811,fa yu
按摩,按摩,23557,an mo
乏力,乏力,23492,fa li
呼吸道,呼吸道,23457,hu xi dao
萎缩,萎縮,23334,wei suo
弹性,彈性,23069,tan xing
肌肉,肌肉,23007,ji rou
体质,體質,22322,ti zhi
器官,器官,22148,qi guan
再生,再生,22136,zai sheng
发热,發熱,22124,fa re
呕吐,嘔吐,22078,ou tu
治愈,治癒,21678,zhi yu
出血,出血,21452,chu xue
咳嗽,咳嗽,21412,ke sou
发作,發作,21339,fa zuo
急诊,急診,21279,ji zhen
血压,血壓,21033,xue ya
轮椅,輪椅,21010,lun yi
发烧,發燒,20921,fa shao
传染病,傳染病,20805,chuan ran bing
头痛,頭痛,20602,tou tong
移植,移植,20519,yi zhi
细菌,細菌,19962,xi jun
注射,注射,19915,zhu she
疫苗,疫苗,19780,yi miao
负荷,負荷,19325,fu he
慢性,慢性,19192,man xing
急性,急性,19191,ji xing
矫正,矯正,19094,jiao zheng
血管,血管,18957,xue guan
颈部,頸部,18908,jing bu
视力,視力,18907,shi li
植入,植入,18675,zhi ru
诊治,診治,18601,zhen zhi
二氧化碳,二氧化碳,18553,er yang hua tan
监护,監護,18501,jian hu
维生素,維生素,18460,wei sheng su
烧伤,燒傷,18427,shao shang
急救车,急救車,18231,ji jiu che
创伤,創傷,18031,chuang shang
分化,分化,17981,fen hua
细胞,細胞,17869,xi bao
发病率,發病率,17541,fa bing lv
头晕,頭暈,17373,tou yun
恶心,噁心,17356,e xin
白血病,白血病,17294,bai xue bing
外伤,外傷,17157,wai shang
医疗保障,醫療保障,16579,yi liao bao zhang
死亡率,死亡率,16314,si wang lv
新生儿,新生兒,16210,xin sheng er
艾滋病,艾滋病,16147,ai zi bing
大腿,大腿,15964,da tui
背部,背部,15826,bei bu
流泪,流淚,15809,liu lei
腹泻,腹瀉,15751,fu xie
抽样,抽樣,15700,chou yang
水污染,水污染,15673,shui wu ran
医疗器械,醫療器械,15571,yi liao qi xie
内科,內科,15542,nei ke
大拇指,大拇指,15539,da mu zhi
精神病,精神病,15503,jing shen bing
脂肪,脂肪,15265,zhi fang
激光,激光,15251,ji guang
化验,化驗,15171,hua yan
儿科,兒科,15136,er ke
根治,根治,15094,gen zhi
生命体征,生命體徵,15093,sheng ming ti zheng
防疫,防疫,14971,fang yi
传染,傳染,14944,chuan ran
窒息,窒息,14936,zhi xi
并发症,併發症,14916,bing fa zheng
体温,體溫,14771,ti wen
畸形,畸形,14560,ji xing
硬化,硬化,14167,ying hua
蛋白质,蛋白質,14062,dan bai zhi
骨头,骨頭,14055,gu tou
标本,標本,13989,biao ben
口腔,口腔,13937,kou qiang
饱和,飽和,13908,bao he
晚期,晚期,13860,wan qi
错位,錯位,13720,cuo wei
四肢,四肢,13661,si zhi
肝脏,肝臟,13599,gan zang
主任医师,主任醫師,13583,zhu ren yi shi
确诊病例,確診病例,13563,que zhen bing li
阳性,陽性,13520,yang xing
高危,高危,13482,gao wei
献血,獻血,13413,xian xue
后遗症,後遺症,13371,hou yi zheng
处方,處方,13333,chu fang
免疫力,免疫力,13192,mian yi li
鉴别,鑑別,13051,jian bie
胎儿,胎兒,13050,tai er
急诊科,急診科,12882,ji zhen ke
低位,低位,12383,di wei
骨科,骨科,12364,gu ke
复发,復發,12343,fu fa
遗传,遺傳,12306,yi chuan
输血,輸血,12198,shu xue
慢性病,慢性病,12182,man xing bing
中风,中風,12175,zhong feng
失眠,失眠,12103,shi mian
疾病预防控制中心,疾病預防控制中心,11931,ji bing yu fang kong zhi zhong xin
病因,病因,11914,bing yin
舌尖,舌尖,11851,she jian
脉络,脈絡,11597,mai luo
微生物,微生物,11596,wei sheng wu
抗生素,抗生素,11551,kang sheng su
开裂,開裂,11527,kai lie
竞争性,競爭性,11369,jing zheng xing
副主任医师,副主任醫師,11282,fu zhu ren yi shi
急救中心,急救中心,11244,ji jiu zhong xin
过敏,過敏,11217,guo min
病变,病變,11209,bing bian
传感器,傳感器,11195,chuan gan qi
包扎,包紮,11084,bao za
猝死,猝死,11039,cu si
关节,關節,10974,guan jie
心痛,心痛,10969,xin tong
衰竭,衰竭,10915,shuai jie
失明,失明,10867,shi ming
疗法,療法,10857,liao fa
剂量,劑量,10852,ji liang
肾脏,腎臟,10690,shen zang
紧急救援,緊急救援,10655,jin ji jiu yuan
擦伤,擦傷,10555,ca shang
低压,低壓,10546,di ya
血糖,血糖,10540,xue tang
基本药物,基本藥物,10471,ji ben yao wu
分娩,分娩,10410,fen mian
缺氧,缺氧,10409,que yang
诱因,誘因,10382,you yin
眼科,眼科,10370,yan ke
眼眶,眼眶,10243,yan kuang
担架,擔架,10205,dan jia
精神疾病,精神疾病,10187,jing shen ji bing
挫伤,挫傷,10160,cuo shang
取样,取樣,10111,qu yang
肠胃,腸胃,10087,chang wei
意外伤害,意外傷害,10062,yi wai shang hai
安全防护,安全防護,10061,an quan fang hu
胶囊,膠囊,10031,jiao nang
接种,接種,10029,jie zhong
应急办,應急辦,9957,ying ji ban
